Model,mAP50,mAP50-95,Average Precision,Average Recall
Yolov8_SAHI,0.45730504734910055,0.29242273888419634,0.27767374851364024,0.35704811696435923
Yolov8_NORMAL,0.3665160073781341,0.24106081181975042,0.23341971249721885,0.2811547576370759
Yolov11_SAHI,0.4631317060056366,0.2973265081800087,0.28104490354507217,0.3598532198698478
Yolov11_VANILLA,0.3719482585145343,0.2436852601938041,0.23559377759844155,0.2824501140311582
RT-DETR_SAHI,0.4716393692622869,0.3024496859078407,0.2674128087916678,0.35460356797507214
RT-DETR_VANILLA,0.41423893906715237,0.26954005855677465,0.2334009745164686,0.29835077263480625
